SampleNumber,Laser 1
1,000.01
2,-000.01
3,000.01
4,000.02
5,000.02
6,000.02
7,000.02
8,000.00
9,000.00
10,000.00
11,000.02
12,000.00
13,-000.01
14,-000.01
15,-000.03
16,000.00
17,000.01
18,000.02
19,000.02
20,000.02
21,000.00
22,000.02
23,000.01
24,000.02
25,000.00
26,000.07
27,000.11
28,000.05
29,000.05
30,000.10
31,000.05
32,000.06
33,000.09
34,000.11
35,000.12
36,000.07
37,000.06
38,000.07
39,000.06
40,000.07
41,000.17
42,000.10
43,000.14
44,000.11
45,000.15
46,000.17
47,000.19
48,000.11
49,000.14
50,000.09
51,000.11
52,000.07
53,000.12
54,000.11
55,000.17
56,000.12
57,000.15
58,000.12
59,000.15
60,000.12
61,000.09
62,000.05
63,000.07
64,000.07
65,000.04
66,000.05
67,000.02
68,000.02
69,000.00
70,000.05
71,000.06
72,000.07
73,000.07
74,000.02
75,000.05
76,000.09
77,000.05
78,000.02
79,000.04
80,000.06
81,000.10
82,000.12
83,000.02
84,000.05
85,000.04
86,000.07
87,000.05
88,000.02
89,000.02
90,000.02
91,000.07
92,000.06
93,000.10
94,000.09
95,000.12
96,000.11
97,000.09
98,000.09
99,000.10
100,000.05
101,000.04
102,000.07
103,000.05
104,000.10
105,000.10
106,000.06
107,101.70
108,106.07
109,116.16
110,118.04
111,118.12
112,116.96
113,116.37
114,114.81
115,110.70
116,105.82
117,099.85
118,022.22
119,000.14
120,000.05
121,000.09
122,000.05
123,000.06
124,000.05
125,000.04
126,000.07
127,000.06
128,000.09
129,000.06
130,000.06
131,000.07
132,000.06
133,000.05
134,000.09
135,000.11
136,000.05
137,000.04
138,000.07
139,000.07
140,000.12
141,000.09
142,000.07
143,000.10
144,000.04
145,000.12
146,000.17
147,000.17
148,000.17
149,000.15
150,000.17
151,000.10
152,000.06
153,000.00
154,000.00
155,-000.03
156,-000.05
157,-000.03
158,-000.06
159,-000.08
160,-000.03
161,-000.05
162,-000.14
163,-000.08
164,-000.04
165,000.01
166,-000.03
167,-000.03
168,000.04
169,000.07
170,000.00
171,000.02
172,000.07
173,000.10
174,000.02
175,000.05
176,000.01
177,000.00
178,000.05
179,000.06
180,000.05
181,000.07
